dataset,n_clusters,avg_radius1,avg_radius2,avg_radius_sklearn,avg_silhouette1,avg_silhouette2,avg_silhouette_sklearn,avg_adjusted_rand1,avg_adjusted_rand2,avg_adjusted_rand_sklearn,avg_time1,avg_time2,avg_time_sklearn,std_radius1,std_radius2,std_radius_sklearn,std_silhouette1,std_silhouette2,std_silhouette_sklearn,std_adjusted_rand1,std_adjusted_rand2,std_adjusted_rand_sklearn,std_time1,std_time2,std_time_sklearn
11,3,1.0301641355859827,2.5990037404063298,1.5572694298438166,0.656247429716918,0.47756429962286917,0.6833696887149102,0.690569966133247,0.5479378229700902,0.7134071340713404,0.005819265047709147,0.00013503233591715495,0.07726294994354248,0.1329145257760305,0.23170115405244252,6.661338147750939e-16,0.05053569552180673,0.1599292503222628,3.3306690738754696e-16,0.03331900608605166,0.13658761510784423,3.3306690738754696e-16,0.0020801812024996095,5.479615870422116e-05,0.009082095479642203
12,3,1.191802829446688,3.306719518960256,2.358221827685255,0.30496148208995977,0.21287687574779438,0.33573240262529197,0.2919726251116156,0.14309248482738407,0.3649984977462406,0.006092524528503418,0.00014116764068603516,0.08252869447072347,0.3769664424638974,0.331678040924471,0.08945082076712527,0.04597888119855391,0.057323464810805205,0.009837997783417346,0.12691113889023833,0.12538640407394996,0.01459823739903395,0.0011824374167344618,7.497932262982919e-05,0.0054355950779487764
13,3,0.6604749155951836,2.2114969413196524,1.1353091673873041,0.751357000340993,0.5179897332411927,0.7759817134751993,0.7087975280070208,0.574434150151905,0.7134071340713404,0.007050236066182454,0.00012425581614176431,0.079183030128479,0.2305839451021975,0.18481838622458763,4.440892098500626e-16,0.05332561139734092,0.17201878555342132,2.220446049250313e-16,0.014825816562880035,0.11610755134866521,3.3306690738754696e-16,0.0027255198223484463,2.7835617284419496e-05,0.010894754075082636
14,3,1.0579716490299345,3.102011997406402,2.7829921759413616,0.3899440083013768,0.22559872996409264,0.48557914253638434,0.5213784316164518,0.14472451062627922,0.7157113380517802,0.007226125399271647,0.00014462471008300782,0.07928662300109864,0.36935736828061705,0.24678869501720047,0.17051406708098302,0.10122828440769624,0.07212861886003161,0.0008622191064508459,0.2539242394734957,0.19194265269352281,0.019606606372585822,0.0017578943413896174,4.6544029173417934e-05,0.0064710528912500466
15,3,0.7340589385632098,2.2183690757279035,0.9388965993283507,0.613169557443523,0.4880867506271522,0.641008654018105,0.5161614945784734,0.348262133198824,0.5987217720603898,0.0072645902633666996,0.0001321077346801758,0.08030036290486654,0.24468631285440323,0.34036582794942083,3.3306690738754696e-16,0.018507879464315032,0.13640321002963984,0.0002583926044662929,0.0481002660323225,0.16289339811734732,0.0012497034970366107,0.0020584783273038783,3.794259466329113e-05,0.009516389361637909
16,3,0.5540270833828943,1.9685100670048263,1.1683235414044333,0.5377600904778002,0.4800418197407089,0.5432741900437051,0.8326689763801824,0.7164019252189571,0.7504975575406824,0.007777118682861328,0.00015579859415690105,0.08192486763000488,1.1102230246251565e-16,0.15973813851345486,0.004548565493509177,0.010534039357304454,0.09275303936272562,0.006047777118803208,0.06707638173267262,0.1473831320120705,0.0014705710626537164,0.002003167928892491,0.00018087591348807164,0.005322022603286162
17,3,0.9791201717968191,2.696457151781394,1.172921860716009,0.7766038503064322,0.46133778982496043,0.7943964519891906,0.7030695401042991,0.4874625238090803,0.7134071340713404,0.0049562215805053714,0.00013091564178466797,0.08108127117156982,2.220446049250313e-16,0.26045869004709665,0.0,0.055881295341515425,0.22474043049277342,2.220446049250313e-16,0.021591882982633787,0.1540387098952016,3.3306690738754696e-16,0.0008504944164516452,5.978621325639546e-05,0.004429987781943263
18,3,0.8753883263388824,2.2613849124731917,1.3572077769325026,0.6696279475730937,0.5150115160159736,0.6923584063575319,0.6734425477746497,0.5858583226870699,0.706711746674943,0.006331284840901692,0.00013074874877929687,0.07768339316050211,0.23597254517227265,0.11190764523400515,0.054092067757384926,0.0793612998094589,0.2133763854865016,0.04068239427002958,0.030290348756979953,0.1704823181099469,0.0056892727866871395,0.003655021124411823,4.193595076366378e-05,0.008679923276367681
19,3,0.5827231773953279,2.1805959076926613,1.2268265872903614,0.6096406823151207,0.5479978495669413,0.6240781295794039,0.8140162864477817,0.7042831528129739,0.751649684990016,0.00787192980448405,0.00017530123392740885,0.07906281153361003,0.0,0.1305815038674081,0.1020761315178733,0.016075265919604287,0.10532837360465896,0.009486486129150396,0.05984249177779573,0.11646815789924327,0.0013822554370282133,0.0019080546591627918,0.00013435166436053805,0.007151221061152897
20,3,1.2212050301509652,2.9117616685870717,1.4930528809897998,0.6445964044164825,0.4260997654958002,0.7082487132299232,0.4238627641251332,0.3232756200974338,0.47978909265766656,0.005325055122375489,0.00015153884887695313,0.0805067777633667,0.1575631317872363,0.23149279155215344,2.220446049250313e-16,0.054777959870130156,0.1821077630031695,1.1102230246251565e-16,0.06544293179936748,0.10039717138544718,5.551115123125783e-17,0.0008519408462627633,6.606451055336746e-05,0.005357921292867735
21,10,3.160470059124572,9.42408782231787,14.22112320284931,0.12357538918002878,0.17790721223493786,0.14321148359532926,0.13288819121713752,0.05777263204643202,0.17878490004196637,0.04183266957600911,0.0003089745839436849,0.03791395823160807,1.3322676295501878e-15,0.37828356643714633,1.6875626679143136,0.016585138573058843,0.07522590337018088,0.012734088450881455,0.032856480627125186,0.032886924919292626,0.009932738731013907,0.003495762646976581,4.344075201222303e-05,0.012704947235997814
22,10,9.289853517622666,27.21576613826528,52.70130506290587,0.3721716200973246,0.5856801401318085,0.13205677999309506,0.0002639242568809464,2.7027589141494577e-06,0.5327046840375106,0.050508308410644534,0.0003158251444498698,0.020816667874654134,0.0,0.8678302666541045,2.620105575763082,0.0719810227922597,0.008886543693239818,0.006456212871365298,0.0002428031006039827,2.8027065972620165e-06,0.056587185197319145,0.0035637740719401097,5.336133541481828e-05,0.006863047193331125
23,10,1.7724288501741727,5.686056587599683,6.0991660318770995,0.16764468536037758,0.1300693940607652,0.2783763899566199,0.3481817768223496,0.2713455834368689,0.5601565990921407,0.049255625406901045,0.00035308202107747397,0.018123205502827963,0.6187875224872399,0.14486382074552717,0.23859700925110394,0.03273957198522888,0.032340780993802824,0.013756107035067987,0.05224986513103486,0.05435734760320076,0.03740896741951687,0.011758960290565208,9.46639846601522e-05,0.006320933748103843
24,2,18.690368596642763,55.88336709789146,55.41361948494555,0.7631114536465972,0.8356482552462174,0.5262064314177534,0.0026321709159586415,-0.000497293472867154,0.07164024136908183,0.03537642955780029,0.00010738372802734374,0.01863245169321696,3.552713678800501e-15,0.6000928972683313,0.6481144964642478,0.04440713266065052,3.3306690738754696e-16,0.11843650227882192,0.003229345913582339,2.168404344971009e-19,0.043631190870837715,0.002896070627391421,2.761971277858104e-05,0.013693227267582686
25,2,4.731206347548435,15.560697367650542,14.545934524225135,0.5384807638944259,0.6529884991895183,0.30434401963998164,0.0,0.0,0.0,0.037804023424784346,0.00012087027231852213,0.008020496368408203,8.881784197001252e-16,1.1742315954570481,0.0072311486018348916,0.13683066428716092,0.032740742151481546,0.0006788248991575018,0.0,0.0,0.0,0.004916241979506592,6.236383164851278e-05,0.0023885945157597534
