dataset,n_clusters,avg_radius1,std_radius1,avg_radius2,std_radius2,avg_silhouette1,std_silhouette1,avg_silhouette2,std_silhouette2,avg_silhouette_sklearn,std_silhouette_sklearn,avg_adjusted_rand1,std_adjusted_rand1,avg_adjusted_rand2,std_adjusted_rand2,avg_adjusted_rand_sklearn,std_adjusted_rand_sklearn,avg_time1,std_time1,avg_time2,std_time2,avg_time_sklearn,std_time_sklearn
17,3,0.9791201717968191,2.220446049250313e-16,2.6855858604543514,0.2157629264622931,0.7722056571358853,0.05699087867368136,0.5022953623451617,0.2308273102956905,0.7943964519891906,2.220446049250313e-16,0.7017071641318917,0.020087963588300405,0.5316345078400747,0.14699456958976168,0.7134071340713404,3.3306690738754696e-16,0.00535282293955485,0.0017362851659305928,0.000165406862894694,0.00018564300730768797,0.06932942072550456,0.01225947347304733
18,3,0.7895659414036978,0.256894368434632,2.258872281994212,0.10474887908245643,0.6801115857813431,0.04507089206095377,0.39252565722335697,0.2303251956429174,0.6954249572067818,0.03891016823243781,0.679749225414078,0.026365526563023448,0.486925692994517,0.18868936869052713,0.707140591746839,0.005441433947591156,0.006174556414286296,0.001590665905024897,0.00015096664428710939,0.00010645038286389101,0.07514637311299642,0.013355227770806928
19,3,0.5827231773953279,0.0,2.1603337696268,0.12771720141683657,0.6080561310813042,0.014803619281967433,0.5313461420434974,0.11322462034136498,0.6214953559519173,0.009845967427806253,0.8293436933336769,0.07029545548880507,0.6885538277596908,0.13725735900376548,0.7521587998690595,0.0016943143751169212,0.007390292485555013,0.0013830059086569234,0.00014090538024902344,7.510937042552266e-05,0.08170615037282308,0.006271323230011942
20,3,1.2001497710104312,0.18949733226480497,3.050226866946874,0.28212046350280706,0.673144337316218,0.052061694466599605,0.47213806651951373,0.2119913647099316,0.7082487132299232,1.1102230246251565e-16,0.46004619014230125,0.0356650572761824,0.33430753077794617,0.1148275734254866,0.47978909265766656,5.551115123125783e-17,0.0056800444920857745,0.0027278599257667315,0.00013606548309326173,0.00011510951961018922,0.07558045387268067,0.01407854546973656
21,10,3.160470059124572,1.3322676295501878e-15,9.244110917605543,0.32090352127978194,0.11607631132255,0.020962467694582973,0.1963034901316587,0.06042434267767492,0.14516051612624475,0.01469361451398072,0.13106354542306878,0.041772216014375356,0.04761788005878545,0.02306399182589245,0.17871044512440143,0.010454006544489162,0.04337786038716634,0.004499663909763655,0.00028922557830810545,4.6688151478981896e-05,0.039447323481241865,0.009057584287305798
22,10,9.289853517622666,0.0,27.542038768221616,1.5686114026036142,0.3604098943919615,0.09729063834529339,0.5615382306850445,0.06169924295087833,0.13117433519842664,0.0076841146618309404,0.002668634791271153,0.007164858988729455,1.4024034670426706e-05,6.447294479092071e-05,0.5457682955702369,0.04550402587930667,0.051784054438273115,0.002698931528094133,0.00032520294189453125,5.5406378073201196e-05,0.01863994598388672,0.004320781028619164
23,10,1.772428850174173,0.6187875224872399,5.714947118515692,0.12640195972824486,0.17242332193935048,0.03583152073918489,0.12677801140312484,0.024156134826998354,0.2721502160496344,0.013473353037408068,0.3656458930661702,0.07609910434771196,0.2555750165054332,0.03071989842994458,0.5583777219261773,0.04435539339382638,0.04874888261159261,0.009765310272020437,0.00036232471466064454,8.472682379509689e-05,0.01652081807454427,0.007121247015496575
24,2,18.690368596642763,3.552713678800501e-15,56.31028895871318,1.6494669345446957,0.7607474850971889,0.04294497328201166,0.8356482552462174,3.3306690738754696e-16,0.49909291729971883,0.09935574118301048,0.004299267971538798,0.0025646573114039167,-0.000497293472867154,2.168404344971009e-19,0.08009694393596585,0.03996920697100031,0.03642197450002035,0.00460533410256989,0.00011768341064453126,4.4502584651960486e-05,0.021046908696492513,0.01500440677231886
25,2,4.731206347548435,8.881784197001252e-16,15.720003449763537,1.3867311443572365,0.45287167406526546,0.13037248053936581,0.6620136563148649,0.0341223820758385,0.30435541589549636,0.0006797192769673509,0.0,0.0,0.0,0.0,0.0,0.0,0.03541813691457112,0.0026646419631884645,9.384950002034505e-05,9.75857143531559e-06,0.009781599044799805,0.005219447312528634
26,2,3.6690312989717464,4.440892098500626e-16,10.59831329477701,1.401097956170788,0.48695446392054076,0.09818077467194633,0.5298991191544394,0.09431809041841191,0.44165539488945066,0.0012753567161141188,0.10865677556600573,0.15967920760338505,0.007190948295950298,0.023093929208540264,0.28321384333279087,0.006758950190798771,0.00845944086710612,0.0022060768149715386,0.00010446707407633464,2.0117695407885746e-05,0.07567514578501383,0.010274140405681606
27,5,,,,,,,,,,,,,,,,,,,,,,
28,2,1.8715910068458517,4.440892098500626e-16,5.743395913387395,0.6166529439434092,0.32293374297595673,0.02791446617712241,0.35321570523953777,0.054893292344406645,0.32923517156656745,0.00022074756372970347,0.06039324884573706,0.04966896135978569,0.036458092581872874,0.02886488701664998,0.013193817625812513,0.00040189416996673564,0.017515714963277182,0.0015202115850599413,0.00012697378794352215,0.00010543153673825341,0.0648273785909017,0.011688542377307695
29,7,4.002131185423537,0.0,10.777291467412901,0.2808964756482545,0.31483786597647817,0.0591303235139819,0.40131462153331243,0.09723545087819789,0.3055977342810749,0.032015641046757526,0.0861964851610979,0.06779755738991781,0.0006028702880720274,0.000872594093028765,0.48833659466626206,0.03269386322915269,0.04870294729868571,0.003960768989218465,0.00021379788716634115,3.3996679921601874e-05,0.023927656809488933,0.007249294280700128
30,3,3.3148596955693432,4.440892098500626e-16,8.842543245504366,0.615109523056898,0.164554984649093,0.027894766649527402,0.1218619487378501,0.04587927652889585,0.21397337348694753,2.0724575934566636e-05,0.24005405526204462,0.052376030036643074,0.1939663324329614,0.07251997384472951,0.2556119354751097,0.00030926341498941013,0.03679076830546061,0.0022458823059775877,0.00011739730834960937,1.7466999198710136e-05,0.01671731472015381,0.006272727555872852
